BN,IN,atc
ETHINYLESTRADIOL/DROSPIRENONE,ÉTHINYLESTRADIOL,L02AA03
ETHINYLESTRADIOL/DROSPIRENONE,DROSPIRÉNONE,G03AC10
ETHINYLESTRADIOL/DROSPIRENONE BGRCONTINU,ÉTHINYLESTRADIOL,G03CA01
ETHINYLESTRADIOL/DROSPIRENONE BGRCONTINU,ÉTHINYLESTRADIOL,L02AA03
ETHINYLESTRADIOL/DROSPIRENONE BGRCONTINU,DROSPIRÉNONE,G03AC10
ETHINYLESTRADIOL/DROSPIRENONE BIOGARANCONTINU,ÉTHINYLESTRADIOL,G03CA01
ETHINYLESTRADIOL/DROSPIRENONE BIOGARANCONTINU,ÉTHINYLESTRADIOL,L02AA03
ETHINYLESTRADIOL/DROSPIRENONE BIOGARANCONTINU,DROSPIRÉNONE,G03AC10
ETHINYLESTRADIOL/ETONOGESTREL,ÉTHINYLESTRADIOL,G03CA01
ETHINYLESTRADIOL/ETONOGESTREL,ÉTHINYLESTRADIOL,L02AA03
ETHINYLESTRADIOL/ETONOGESTREL,ÉTONOGESTREL,G03AC08
ETHINYLOESTRADIOL,ÉTHINYLESTRADIOL,G03CA01
ETHINYLOESTRADIOL,ÉTHINYLESTRADIOL,L02AA03
ETHYOL,AMIFOSTINE,NA
ETILEFRINE S.E.R.B.,ÉTILÉFRINE (CHLORHYDRATE D'),NA
ETIOVEN,NAFTAZONE,C05CX02
ETOMIDATE LIPURO,ÉTOMIDATE,N01AX07
ETONOGESTREL/ETHINYLESTRADIOL,ÉTHINYLESTRADIOL,G03CA01
ETONOGESTREL/ETHINYLESTRADIOL,ÉTHINYLESTRADIOL,L02AA03
ETONOGESTREL/ETHINYLESTRADIOL,ÉTONOGESTREL,G03AC08
ETOPOPHOS,ÉTOPOSIDE,L01CB01
ETOPOPHOS,ÉTOPOSIDE (PHOSPHATE D'),NA
ETOPOSIDE,ÉTOPOSIDE,L01CB01
ETORICOXIB,ÉTORICOXIB,M01AH05
ETORING,ÉTHINYLESTRADIOL,G03CA01
ETORING,ÉTHINYLESTRADIOL,L02AA03
ETORING,ÉTONOGESTREL,G03AC08
EUCALYPTINE LE BRUN,CODÉINE,R05DA04
EUCALYPTINE LE BRUN,CODÉINE,NA
EUCALYPTINE LE BRUN,CODÉINE,NA
EUCALYPTINE LE BRUN,CINÉOLE,R05CA13
EUCREAS,METFORMINE,A10BA02
EUCREAS,METFORMINE (CHLORHYDRATE DE),NA
EUCREAS,VILDAGLIPTINE,A10BH02
EUPANTOL,PANTOPRAZOLE,A02BC02
EUPHON,CODÉINE,R05DA04
EUPHON,CODÉINE,NA
EUPHON,CODÉINE,NA
EUPHYLLINE L A,THÉOPHYLLINE,NA
EUPRESSYL,URAPIDIL,C02CA06
EURAX,CROTAMITON,NA
EURELIX,PIRÉTANIDE,C03CA03
EURONAC,N-ACÉTYL L-CYSTÉINE,R05CB01
EURONAC,N-ACÉTYL L-CYSTÉINE,S01XA08
EURONAC,N-ACÉTYL L-CYSTÉINE,V03AB23
EUTHYRAL,LÉVOTHYROXINE SODIQUE,H03AA01
EUTHYRAL,LIOTHYRONINE SODIQUE,H03AA02
EUVANOL SPRAY,BROMURE DE BENZALKONIUM,NA
EVANECIA,LÉVONORGESTREL,G03AC03
EVANECIA,LÉVONORGESTREL,G03AD01
EVANECIA,ÉTHINYLESTRADIOL,G03CA01
EVANECIA,ÉTHINYLESTRADIOL,L02AA03
EVEPAR,ACÉTATE DE CYPROTÉRONE,NA
EVEPAR,ÉTHINYLESTRADIOL,G03CA01
EVEPAR,ÉTHINYLESTRADIOL,L02AA03
EVEROLIMUS,ÉVÉROLIMUS,L01EG02
EVEROLIMUS,ÉVÉROLIMUS,L04AA18
EVIPLERA,RILPIVIRINE,J05AG05
EVIPLERA,TÉNOFOVIR DISOPROXIL,J05AF07
EVIPLERA,EMTRICITABINE,J05AF09
EVIPLERA,FUMARATE DE TÉNOFOVIR DISOPROXIL,NA
EVIPLERA,RILPIVIRINE (CHLORHYDRATE DE),NA
EVISTA,CHLORHYDRATE DE RALOXIFÈNE,NA
EVISTA,RALOXIFÈNE BASE,G03XC01
EVOLTRA,CLOFARABINE,L01BB06
EVRA,ÉTHINYLESTRADIOL,G03CA01
EVRA,ÉTHINYLESTRADIOL,L02AA03
EVRA,NORELGESTROMINE,NA
EXACOR,CIBENZOLINE,C01BG07
EXACYL,TRANEXAMIQUE (ACIDE),B02AA02
EXEDIEM,GLYCÉROL,A06AG04
EXEDIEM,GLYCÉROL,A06AX01
EXEDIEM,VASELINE,NA
EXEDIEMED,GLYCÉROL,A06AG04
EXEDIEMED,GLYCÉROL,A06AX01
EXEDIEMED,VASELINE,NA
EXELON,RIVASTIGMINE BASE,N06DA03
EXELON,HYDROGÉNOTARTRATE DE RIVASTIGMINE,NA
EXEMESTANE,EXÉMESTANE,L02BG06
EXFORGE,VALSARTAN,C09CA03
EXFORGE,AMLODIPINE,C08CA01
EXFORGE,BÉSILATE D'AMLODIPINE,NA
EXFORGE HCT,HYDROCHLOROTHIAZIDE,C03AA03
EXFORGE HCT,VALSARTAN,C09CA03
EXFORGE HCT,AMLODIPINE,C08CA01
EXFORGE HCT,BÉSILATE D'AMLODIPINE,NA
EXJADE,DÉFÉRASIROX,V03AC03
EXOCINE,OFLOXACINE,J01MA01
EXOCINE,OFLOXACINE,S01AE01
EXOCINE,OFLOXACINE,S02AA16
EXOMUC,ACÉTYLCYSTÉINE,R05CB01
EXOMUC,ACÉTYLCYSTÉINE,S01XA08
EXOMUC,ACÉTYLCYSTÉINE,V03AB23
EXTAVIA,INTERFÉRON BÊTA-1B,L03AB08
EXTOVYL,BÉTAHISTINE (MÉSILATE DE),NA
EXTRANEAL,CHLORURE DE CALCIUM,NA
EXTRANEAL,CHLORURE DE SODIUM,A12CA01
EXTRANEAL,CHLORURE DE SODIUM,B05CB01
EXTRANEAL,CHLORURE DE SODIUM,B05XA03
EXTRANEAL,CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ,A12CC01
EXTRANEAL,CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ,B05XA11
EXTRANEAL,CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ,NA
EXTRANEAL,SODIUM,NA
EXTRANEAL,ICODEXTRINE,NA
EXVIERA,DASABUVIR,J05AP09
EXVIERA,DASABUVIR SODIQUE MONOHYDRATÉ,NA
EYLEA,AFLIBERCEPT,L01XX44
EYLEA,AFLIBERCEPT,S01LA05
EZETIMIBE,ÉZÉTIMIBE,C10AX09
EZETIMIBE/SIMVASTATINE,SIMVASTATINE,C10AA01
EZETIMIBE/SIMVASTATINE,ÉZÉTIMIBE,C10AX09
EZETROL,ÉZÉTIMIBE,C10AX09
FABRAZYME,AGALSIDASE BÊTA,A16AB04
FAMOTIDINE,FAMOTIDINE,A02BA03
FAMPYRA,FAMPRIDINE,N07XX07
FARESTON,CITRATE DE TORÉMIFÈNE,NA
FARMORUBICINE,ÉPIRUBICINE (CHLORHYDRATE D'),NA
FARYDAK,LACTATE DE PANOBINOSTAT ANHYDRE,NA
FARYDAK,PANOBINOSTAT,L01XH03
FASENRA,BENRALIZUMAB,R03DX10
FASIGYNE,TINIDAZOLE,G01AF21
FASIGYNE,TINIDAZOLE,J01XD02
FASIGYNE,TINIDAZOLE,P01AB02
FASLODEX,FULVESTRANT,L02BA03
FASTENYL,ACIDE ASCORBIQUE,A11GA01
FASTENYL,ACIDE ASCORBIQUE,G01AD03
FASTENYL,ACIDE ASCORBIQUE,S01XA15
FASTENYL,ARGININE (ASPARTATE D'),NA
FASTURTEC,RASBURICASE,V03AF07
FAZOL,ISOCONAZOLE (NITRATE D'),NA
FAZOL G,ISOCONAZOLE (NITRATE D'),NA
FEBUXOSTAT,FÉBUXOSTAT,M04AA03
FEGENOR,FÉNOFIBRATE,C10AB05
FEGENOR,FÉNOFIBRATE,NA
FELDENE,PIROXICAM,M01AC01
FELDENE,PIROXICAM,M02AA07
FELDENE,PIROXICAM,S01BC06
FELDENE DISPERSIBLE,PIROXICAM,M01AC01
FELDENE DISPERSIBLE,PIROXICAM,M02AA07
FELDENE DISPERSIBLE,PIROXICAM,S01BC06
FELODIPINE,FÉLODIPINE,C08CA02
FEMADEXIL,BENZALKONIUM (CHLORURE DE),NA
FEMARA,LÉTROZOLE,L02BG04
FEMI,ÉTHINYLESTRADIOL,G03CA01
FEMI,ÉTHINYLESTRADIOL,L02AA03
FEMI,NORGESTIMATE,NA
FEMSEPT,ESTRADIOL HÉMIHYDRATÉ,NA
FEMSEPTCOMBI,ESTRADIOL HÉMIHYDRATÉ,NA
FEMSEPTCOMBI,LÉVONORGESTREL,G03AC03
FEMSEPTCOMBI,LÉVONORGESTREL,G03AD01
FEMSEPTEVO,LÉVONORGESTREL,G03AC03
FEMSEPTEVO,LÉVONORGESTREL,G03AD01
FEMSEPTEVO,ESTRADIOL HÉMIHYDRATÉ,NA
FENOFIBRATE,FÉNOFIBRATE,C10AB05
FENOFIBRATE,FÉNOFIBRATE,NA
FENOFIBRATE FOURNIER,FÉNOFIBRATE,C10AB05
FENOFIBRATE FOURNIER,FÉNOFIBRATE,NA
FENTANYL,CITRATE DE FENTANYL,NA
FENTANYL,FENTANYL,N01AH01
FENTANYL,FENTANYL,N02AB03
FENTICONAZOLE,NITRATE DE FENTICONAZOLE,NA
FENTICONAZOLE,FENTICONAZOLE BASE,D01AC12
FENTICONAZOLE,FENTICONAZOLE BASE,G01AF12
FER,SULFATE FERREUX HEPTAHYDRATÉ,B03AA07
FER,FER,NA
FER,COMPLEXE D'HYDROXYDE FERRIQUE - SACCHAROSE,B03AB02
FERINJECT,FER,NA
FERINJECT,CARBOXYMALTOSE FERRIQUE,NA
FERO-GRAD VITAMINE C,SULFATE FERREUX,NA
FERO-GRAD VITAMINE C,ACIDE ASCORBIQUE,A11GA01
FERO-GRAD VITAMINE C,ACIDE ASCORBIQUE,G01AD03
FERO-GRAD VITAMINE C,ACIDE ASCORBIQUE,S01XA15
FERO-GRAD VITAMINE C,FER,NA
FERRIPROX,DÉFÉRIPRONE,V03AC02
FERROSTRANE,SODIUM (FÉRÉDÉTATE DE),B03AB03
FERROSTRANE,FER,NA
FERTIFOL,ACIDE FOLIQUE ANHYDRE,B03BB01
FERTIFOL,ACIDE FOLIQUE ANHYDRE,V04CX02
FERTIFOL,ACIDE FOLIQUE HYDRATÉ,B03BB01
FERTIFOL,ACIDE FOLIQUE HYDRATÉ,V04CX02
FERTISTARTKIT,HORMONE FOLLICULO STIMULANTE,G03GA04
FERVEX ADULTES FRAMBOISE,ACIDE ASCORBIQUE,A11GA01
FERVEX ADULTES FRAMBOISE,ACIDE ASCORBIQUE,G01AD03
FERVEX ADULTES FRAMBOISE,ACIDE ASCORBIQUE,S01XA15
FERVEX ADULTES FRAMBOISE,PARACÉTAMOL,N02BE01
FERVEX ADULTES FRAMBOISE,MALÉATE DE PHÉNIRAMINE,NA
FERVEX ADULTES SANS SUCRE,ACIDE ASCORBIQUE,A11GA01
FERVEX ADULTES SANS SUCRE,ACIDE ASCORBIQUE,G01AD03
FERVEX ADULTES SANS SUCRE,ACIDE ASCORBIQUE,S01XA15
FERVEX ADULTES SANS SUCRE,PARACÉTAMOL,N02BE01
FERVEX ADULTES SANS SUCRE,MALÉATE DE PHÉNIRAMINE,NA
FERVEX ADULTES,ACIDE ASCORBIQUE,A11GA01
FERVEX ADULTES,ACIDE ASCORBIQUE,G01AD03
FERVEX ADULTES,ACIDE ASCORBIQUE,S01XA15
FERVEX ADULTES,PARACÉTAMOL,N02BE01
FERVEX ADULTES,MALÉATE DE PHÉNIRAMINE,NA
FERVEX ENFANTS SANS SUCRE,ACIDE ASCORBIQUE,A11GA01
FERVEX ENFANTS SANS SUCRE,ACIDE ASCORBIQUE,G01AD03
FERVEX ENFANTS SANS SUCRE,ACIDE ASCORBIQUE,S01XA15
FERVEX ENFANTS SANS SUCRE,PARACÉTAMOL,N02BE01
FERVEX ENFANTS SANS SUCRE,MALÉATE DE PHÉNIRAMINE,NA
FERVEXRHUME,PARACÉTAMOL,N02BE01
FERVEXRHUME,MALÉATE DE CHLORPHÉNAMINE,NA
FESOTERODINE,FUMARATE DE FÉSOTÉRODINE,NA
FESOTERODINE,FÉSOTÉRODINE,G04BD11
FETCROJA,CÉFIDÉROCOL,J01DI04
FEUILLE DE SAULE,ACIDE SALICYLIQUE,D01AE12
FEUILLE DE SAULE,ACIDE SALICYLIQUE,S01BC08
FEUILLE DE SAULE CORICIDE VERRUCIDE,ACIDE SALICYLIQUE,D01AE12
FEUILLE DE SAULE CORICIDE VERRUCIDE,ACIDE SALICYLIQUE,S01BC08
FEUILLE DE SAULE TOUT PRET COR,SALICYLIQUE (ACIDE),D01AE12
FEUILLE DE SAULE TOUT PRET COR,SALICYLIQUE (ACIDE),S01BC08
FEUILLE DE SAULE TOUT PRET DURILLON,ACIDE SALICYLIQUE,D01AE12
FEUILLE DE SAULE TOUT PRET DURILLON,ACIDE SALICYLIQUE,S01BC08
FEXOFENADINE,FEXOFÉNADINE BASE,R06AX26
FEXOFENADINE,CHLORHYDRATE DE FEXOFÉNADINE,NA
FEXOFENADINE,FEXOFENADINE,R06AX26
FIASP,INSULINE ASPARTE,A10AB05
FIASP,INSULINE ASPARTE,A10AD05
FIASP FLEXTOUCH,INSULINE ASPARTE,A10AB05
FIASP FLEXTOUCH,INSULINE ASPARTE,A10AD05
FIASP PENFILL,INSULINE ASPARTE,A10AB05
FIASP PENFILL,INSULINE ASPARTE,A10AD05
FIASP PUMPCART,INSULINE ASPARTE,A10AB05
FIASP PUMPCART,INSULINE ASPARTE,A10AD05
FIBROVEIN,TÉTRADÉCYL SULFATE DE SODIUM,C05BB04
FINACEA,ACIDE AZÉLAÏQUE,D10AX03
FINASTERIDE,FINASTÉRIDE,D11AX10
FINASTERIDE,FINASTÉRIDE,G04CB01
FINGOLIMOD,FINGOLIMOD,L04AA27
FINGOLIMOD,CHLORHYDRATE DE FINGOLIMOD,NA
FIRAZYR,ACÉTATE D'ICATIBANT,NA
FIRAZYR,ICATIBANT,B06AC02
FIRDAPSE,AMIFAMPRIDINE,N07XX05
FIRMAGON,DÉGARÉLIX,L02BX02
FIRMAGON,DÉGARÉLIX (ACÉTATE DE),L02BX02
FIVASA,MÉSALAZINE,A07EC02
FIXAPOST,MALÉATE DE TIMOLOL,NA
FIXAPOST,TIMOLOL,NA
FIXAPOST,LATANOPROST,S01EE01
FIXICAL,CARBONATE DE CALCIUM,A02AC01
FIXICAL,CARBONATE DE CALCIUM,A12AA04
FIXICAL,CALCIUM ÉLÉMENT,NA
FIXICAL VITAMINE D3,CALCIUM (CARBONATE DE),A02AC01
FIXICAL VITAMINE D3,CALCIUM (CARBONATE DE),A12AA04
FIXICAL VITAMINE D3,CHOLÉCALCIFÉROL,A11CC05
FIXICAL VITAMINE D3,CALCIUM ÉLÉMENT,NA
FIXICAL VITAMINE D3,"CONCENTRAT DE CHOLÉCALCIFÉROL, FORME PULVÉRULENTE",A11CC05
FIXICAL VITAMINE D3,CARBONATE DE CALCIUM,A02AC01
FIXICAL VITAMINE D3,CARBONATE DE CALCIUM,A12AA04
FIXORINOX,PROPIONATE DE FLUTICASONE,NA
FLAGYL,MÉTRONIDAZOLE,A01AB17
FLAGYL,MÉTRONIDAZOLE,D06BX01
FLAGYL,MÉTRONIDAZOLE,G01AF01
FLAGYL,MÉTRONIDAZOLE,J01XD01
FLAGYL,MÉTRONIDAZOLE,P01AB01
FLAGYL,MÉTRONIDAZOLE (BENZOATE DE),NA
FLAMMACERIUM,SULFADIAZINE ARGENTIQUE,D06BA01
FLAMMAZINE,SULFADIAZINE ARGENTIQUE,D06BA01
FLANID,ACIDE TIAPROFÉNIQUE,M01AE11
FLAVAN,LEUCOCIANIDOL,NA
FLAVONOIDES,DIOSMINE,C05CA03
FLAVONOIDES,HESPÉRIDINE,NA
FLECAINE,ACÉTATE DE FLÉCAÏNIDE,NA
FLECAINIDE,ACÉTATE DE FLÉCAÏNIDE,NA
FLECAÏNE,ACÉTATE DE FLÉCAÏNIDE,NA
FLECAÏNIDE,ACÉTATE DE FLÉCAÏNIDE,NA
FLECTOR,DICLOFÉNAC SODIQUE,NA
FLECTOR,ÉPOLAMINE DE DICLOFÉNAC,NA
FLECTOR TISSUGEL HEPARINE,DICLOFÉNAC SODIQUE,NA
FLECTOR TISSUGEL HEPARINE,HÉPARINE SODIQUE,NA
FLECTOR TISSUGEL HEPARINE,ÉPOLAMINE DE DICLOFÉNAC,NA
FLECTOREFFIGEL,DICLOFÉNAC SODIQUE,NA
FLECTOREFFIGEL,ÉPOLAMINE DE DICLOFÉNAC,NA
FLECTORTISSUGELEP,DICLOFÉNAC SODIQUE,NA
FLECTORTISSUGELEP,ÉPOLAMINE DE DICLOFÉNAC,NA
FLETAGEX,"CONCENTRAT DE VITAMINE A SYNTHÉTIQUE, FORME HUILEUSE",NA
FLEXEA,GLUCOSAMINE (CHLORHYDRATE DE),NA
FLEXEA,GLUCOSAMINE,M01AX05
FLISINT,FUMAGILLINE,P01AX10
FLIXABI,INFLIXIMAB,L04AB02
FLIXONASE,PROPIONATE DE FLUTICASONE,NA
FLIXOTIDE,PROPIONATE DE FLUTICASONE,NA
FLIXOTIDE DISKUS,PROPIONATE DE FLUTICASONE,NA
FLIXOVATE,PROPIONATE DE FLUTICASONE,NA
FLODIL,FÉLODIPINE,C08CA02
FLOLAN,ÉPOPROSTÉNOL,B01AC09
FLOLAN,ÉPOPROSTÉNOL SODIQUE,NA
FLORALAC,LACTULOSE,A06AD11
FLORALAC,LACTULOSE LIQUIDE,A06AD11
FLORGYNAL,LACTOBACILLUS CASEI,NA
FLORGYNAL,ESTRIOL,G03CA04
FLORGYNAL,ESTRIOL,G03CC06
FLORGYNAL,PROGESTÉRONE,G03DA04
FLOXYFRAL,MALÉATE DE FLUVOXAMINE,NA
FLOXYFRAL,FLUVOXAMINE (MALÉATE DE),NA
FLUANXOL,FLUPENTIXOL BASE,N05AF01
FLUCLOXACILLINE,FLUCLOXACILLINE SODIQUE MONOHYDRATÉE,NA
FLUCLOXACILLINE,FLUCLOXACILLINE,J01CF05
FLUCON,FLUOROMÉTHOLONE,C05AA06
FLUCON,FLUOROMÉTHOLONE,D07AB06
FLUCON,FLUOROMÉTHOLONE,D07XB04
FLUCON,FLUOROMÉTHOLONE,D10AA01
FLUCON,FLUOROMÉTHOLONE,S01BA07
FLUCON,FLUOROMÉTHOLONE,S01CB05
FLUCONAZOLE,FLUCONAZOLE,D01AC15
FLUCONAZOLE,FLUCONAZOLE,J02AC01
FLUCORTAC,ACÉTATE DE FLUDROCORTISONE,NA
FLUCORTAC,FLUDROCORTISONE,H02AA02
FLUDARA,PHOSPHATE DE FLUDARABINE,NA
FLUDARABINE,PHOSPHATE DE FLUDARABINE,NA
FLUIDABAK,POVIDONE,NA
FLUIMUCIL EXPECTORANT ACETYLCYSTEINE,ACÉTYLCYSTÉINE,R05CB01
FLUIMUCIL EXPECTORANT ACETYLCYSTEINE,ACÉTYLCYSTÉINE,S01XA08
FLUIMUCIL EXPECTORANT ACETYLCYSTEINE,ACÉTYLCYSTÉINE,V03AB23
FLUISEDAL SANS PROMETHAZINE,BENZOATE DE MÉGLUMINE,NA
FLUISEDAL SANS PROMETHAZINE,POLYSORBATE 20,NA
FLUISEDAL,BENZOATE DE MÉGLUMINE,NA
FLUISEDAL,CHLORHYDRATE DE PROMÉTHAZINE,NA
FLUISEDAL,POLYSORBATE 20,NA
FLUMAZENIL,FLUMAZÉNIL,V03AB25
FLUOCARIL BI FLUORE,FLUORURE DE SODIUM,A01AA01
FLUOCARIL BI FLUORE,FLUORURE DE SODIUM,A12CD01
FLUOCARIL BI FLUORE,MONOFLUOROPHOSPHATE DE SODIUM,A01AA02
FLUOCARIL BI FLUORE,MONOFLUOROPHOSPHATE DE SODIUM,A12CD02
FLUOCARIL BI-FLUORE,FLUORURE DE SODIUM,A01AA01
FLUOCARIL BI-FLUORE,FLUORURE DE SODIUM,A12CD01
FLUOCARIL BI-FLUORE,MONOFLUOROPHOSPHATE DE SODIUM,A01AA02
FLUOCARIL BI-FLUORE,MONOFLUOROPHOSPHATE DE SODIUM,A12CD02
FLUOCYNE,FLUORESCÉINE SODIQUE,NA
FLUODONTYL,FLUORURE DE SODIUM,A01AA01
FLUODONTYL,FLUORURE DE SODIUM,A12CD01
FLUOGEL,FLUORURE DE SODIUM,A01AA01
FLUOGEL,FLUORURE DE SODIUM,A12CD01
FLUOGEL,SODIUM (MONOFLUOROPHOSPHATE DE),A01AA02
FLUOGEL,SODIUM (MONOFLUOROPHOSPHATE DE),A12CD02
FLUOR OLIGOSOL,SODIUM (FLUORURE DE),A01AA01
FLUOR OLIGOSOL,SODIUM (FLUORURE DE),A12CD01
FLUOR OLIGOSOL,FLUOR ÉLÉMENT,NA
FLUORESCEINE,FLUORESCÉINE SODIQUE,NA
FLUORESCEINE SODIQUE,FLUORESCÉINE SODIQUE,NA
FLUOREX,FLUORURE DE SODIUM,A01AA01
FLUOREX,FLUORURE DE SODIUM,A12CD01
FLUOREX,FLUOR ÉLÉMENT,NA
FLUOROURACILE,FLUOROURACILE,L01BC02
FLUORURE DE CALCIUM,CALCIUM (FLUORURE DE),NA
FLUOSELGINE,DOMIFÈNE (BROMURE DE),NA
FLUOSELGINE,SODIUM (CHLORURE DE),A12CA01
FLUOSELGINE,SODIUM (CHLORURE DE),B05CB01
FLUOSELGINE,SODIUM (CHLORURE DE),B05XA03
FLUOSELGINE,SODIUM (FLUORURE DE),A01AA01
FLUOSELGINE,SODIUM (FLUORURE DE),A12CD01
FLUOSTEROL,CHOLÉCALCIFÉROL,A11CC05
FLUOSTEROL,FLUORURE DE SODIUM,A01AA01
FLUOSTEROL,FLUORURE DE SODIUM,A12CD01
FLUOSTEROL,FLUOR ÉLÉMENT,NA
FLUOSTEROL,"CONCENTRAT DE CHOLÉCALCIFÉROL, FORME PULVÉRULENTE",A11CC05
FLUOXETINE,CHLORHYDRATE DE FLUOXÉTINE,NA
FLUOXETINE,FLUOXÉTINE BASE,N06AB03
FLUOXETINE,FLUOXÉTINE,N06AB03
FLURBIPROFENE,FLURBIPROFÈNE,M01AE09
FLURBIPROFENE,FLURBIPROFÈNE,M02AA19
FLURBIPROFENE,FLURBIPROFÈNE,R02AX01
FLURBIPROFENE,FLURBIPROFÈNE,S01BC04
FLUSTIMEX,ACIDE ASCORBIQUE,A11GA01
FLUSTIMEX,ACIDE ASCORBIQUE,G01AD03
FLUSTIMEX,ACIDE ASCORBIQUE,S01XA15
FLUSTIMEX,PARACÉTAMOL,N02BE01
FLUSTIMEX,MALÉATE DE CHLORPHÉNAMINE,NA
FLUTAMIDE,FLUTAMIDE,L02BB01
FLUTIFORM,FUMARATE DE FORMOTÉROL DIHYDRATÉ,NA
FLUTIFORM,PROPIONATE DE FLUTICASONE,NA
FLUVASTATINE,FLUVASTATINE,C10AA04
FLUVASTATINE CEVIDRA,FLUVASTATINE BASE,C10AA04
FLUVASTATINE CEVIDRA,FLUVASTATINE,C10AA04
FLUVASTATINE,FLUVASTATINE BASE,C10AA04
FLUVERMAL,FLUBENDAZOLE,P02CA05
FLUVOXAMINE,MALÉATE DE FLUVOXAMINE,NA
FOLINATE DE CALCIUM,FOLINATE DE CALCIUM,V03AF03
FOLINATE DE CALCIUM EBEWE,FOLINATE DE CALCIUM,V03AF03
FOLINORAL,CALCIUM (FOLINATE DE),V03AF03
FOLINORAL,FOLINATE DE CALCIUM,V03AF03
FOMEPIZOLE,FOMÉPIZOLE,V03AB34
FOMICYT,FOSFOMYCINE,J01XX01
FOMICYT,FOSFOMYCINE,S02AA17
FONCITRIL,ACIDE CITRIQUE ANHYDRE,A09AB04
FONCITRIL,ACIDE CITRIQUE ANHYDRE,NA
FONCITRIL,ACIDE CITRIQUE MONOHYDRATÉ,NA
FONCITRIL,ACIDE CITRIQUE MONOHYDRATÉ,NA
FONCITRIL,CITRATE MONOPOTASSIQUE ANHYDRE,NA
FONDAPARINUX SODIQUE,FONDAPARINUX SODIQUE,NA
FONGAMIL,NITRATE D'OMOCONAZOLE,NA
FONGILEINE,NITRATE D'ÉCONAZOLE,NA
FONX,OXICONAZOLE (NITRATE D'),NA
FONX,OXICONAZOLE,D01AC11
FONX,OXICONAZOLE,G01AF17
FORADIL,FORMOTÉROL (FUMARATE DE) DIHYDRATÉ,NA
FORENE,ISOFLURANE,N01AB06
FORLAX,MACROGOL 4000,A06AD15
FORLAXLIB ADULTE,MACROGOL 4000,A06AD15
FORMOAIR,FUMARATE DE FORMOTÉROL DIHYDRATÉ,NA
FORMODUAL,DIPROPIONATE DE BÉCLOMÉTASONE,NA
FORMODUAL,FUMARATE DE FORMOTÉROL DIHYDRATÉ,NA
FORMODUAL NEXTHALER,DIPROPIONATE DE BÉCLOMÉTASONE ANHYDRE,NA
FORMODUAL NEXTHALER,FUMARATE DE FORMOTÉROL DIHYDRATÉ,NA
FORMOTEROL,FORMOTÉROL (FUMARATE DE) DIHYDRATÉ,NA
FORMOTEROL,FUMARATE DE FORMOTÉROL DIHYDRATÉ,NA
FORSTEO,TÉRIPARATIDE,H05AA02
FORTACIN,LIDOCAÏNE,C01BB01
FORTACIN,LIDOCAÏNE,C05AD01
FORTACIN,LIDOCAÏNE,D04AB01
FORTACIN,LIDOCAÏNE,N01BB02
FORTACIN,LIDOCAÏNE,R02AD02
FORTACIN,LIDOCAÏNE,S01HA07
FORTACIN,LIDOCAÏNE,S02DA01
FORTACIN,PRILOCAÏNE,N01BB04
FORTIGEL,TESTOSTÉRONE,G03BA03
FORTRANS,CHLORURE DE POTASSIUM,A12BA01
FORTRANS,CHLORURE DE POTASSIUM,B05XA01
FORTRANS,BICARBONATE DE SODIUM,B05CB04
FORTRANS,BICARBONATE DE SODIUM,B05XA02
FORTRANS,CHLORURE DE SODIUM,A12CA01
FORTRANS,CHLORURE DE SODIUM,B05CB01
FORTRANS,CHLORURE DE SODIUM,B05XA03
FORTRANS,SULFATE DE SODIUM ANHYDRE,NA
FORTRANS,MACROGOL 4000,A06AD15
FORTUM,CEFTAZIDIME ANHYDRE,J01DD02
FORTZAAR,HYDROCHLOROTHIAZIDE,C03AA03
FORTZAAR,LOSARTAN POTASSIQUE,NA
FORXIGA,DAPAGLIFLOZINE PROPANEDIOL MONOHYDRATÉ,NA
FORXIGA,DAPAGLIFLOZINE,A10BK01
FOSAMAX,SODIUM (ALENDRONATE DE) TRIHYDRATÉ,NA
FOSAMAX,ACIDE ALENDRONIQUE,NA
FOSAMAX,ACIDE ALENDRONIQUE,M05BA04
FOSAMAX,ALENDRONATE MONOSODIQUE TRIHYDRATÉ,NA
FOSAVANCE,CHOLÉCALCIFÉROL,A11CC05
FOSAVANCE,ALENDRONATE MONOSODIQUE TRIHYDRATÉ,NA
FOSAVANCE,ALENDRONIQUE (ACIDE),NA
FOSAVANCE,ALENDRONIQUE (ACIDE),M05BA04
FOSCAN,TÉMOPORFINE,L01XD05
FOSCARNET,FOSCARNET SODIQUE HEXAHYDRATÉ,NA
FOSCAVIR,FOSCARNET SODIQUE HEXAHYDRATÉ,NA
FOSFOCINE,FOSFOMYCINE,J01XX01
FOSFOCINE,FOSFOMYCINE,S02AA17
FOSFOMYCINE,FOSFOMYCINE TROMÉTAMOL,NA
FOSFOMYCINE,FOSFOMYCINE,J01XX01
FOSFOMYCINE,FOSFOMYCINE,S02AA17
FOSFOPHARM ADULTES,FOSFOMYCINE TROMÉTAMOL,NA
FOSFOPHARM ADULTES,FOSFOMYCINE,J01XX01
FOSFOPHARM ADULTES,FOSFOMYCINE,S02AA17
FOSINOPRIL,FOSINOPRIL SODIQUE,NA
